disease_flag,disease_label,phenotype,variant,effect_allele,other_allele,family,analysis_tier,confirmatory_role,panel,metric,region,source,analysis,model,status,n,n_case,n_control,beta_per_A_controls,se_per_A_controls,p_per_A_controls,beta_interaction,se_interaction,p_interaction,beta_per_A_cases_from_interaction,se_per_A_cases_from_interaction,p_per_A_cases_from_interaction,vcov_type,n_case_AA,n_case_AG,n_case_GG,raw_p,minus_log10_raw_p,stratum,beta_per_A,se_per_A,p_per_A
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",dMRI_TBSS_FA_cerebral_peduncle_left,rs2546890,A,G,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,FA,cerebral peduncle (left),basket,stratified_noncase,additive_dosage_within_stratum,ok,33204,,,,,,,,,,,,nonrobust,,,,0.0004043896788869,3.3931999373037307,0.0,0.0246512920505451,0.0069684392887878,0.0004043896788869
ms_case,"Multiple sclerosis current union, corrected G35-first-occurrence",dMRI_TBSS_FA_cerebral_peduncle_left,rs2546890,A,G,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,FA,cerebral peduncle (left),basket,stratified_noncase,additive_dosage_within_stratum,ok,33355,,,,,,,,,,,,nonrobust,,,,0.0004549766607102,3.3420108811114693,0.0,0.0243735524177068,0.0069513552229843,0.0004549766607102
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",dMRI_TBSS_RD_cerebral_peduncle_left,rs2546890,A,G,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,RD,cerebral peduncle (left),derived,stratified_noncase,additive_dosage_within_stratum,ok,33202,,,,,,,,,,,,nonrobust,,,,0.0013337020613079,2.8749411776020426,0.0,-0.0224436517624192,0.0069941868953215,0.0013337020613079
ms_case,"Multiple sclerosis current union, corrected G35-first-occurrence",dMRI_TBSS_RD_cerebral_peduncle_left,rs2546890,A,G,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,RD,cerebral peduncle (left),derived,stratified_noncase,additive_dosage_within_stratum,ok,33353,,,,,,,,,,,,nonrobust,,,,0.0017264833819927,2.762837597530904,0.0,-0.0218732693317094,0.0069795645477905,0.0017264833819927
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__wm__anterior_thalamic_radiation_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,anterior thalamic radiation (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.003155470835522,0.0109909120343418,0.7740389249802495,0.3640659484795198,0.1200913354810418,0.0024346724319021,0.3609104776439977,0.1195874573091143,0.0025467183229762,nonrobust,84.0,144.0,58.0,0.0024346724319021,2.6135594617951563,,,,
ms_case,"Multiple sclerosis current union, corrected G35-first-occurrence",tract_geometry_like__tbss__superior_fronto_occipital_fasciculus_lef,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,tract_geometry_like,superior fronto-occipital fasciculus (left),composite,stratified_noncase,additive_dosage_within_stratum,ok,33363,,,,,,,,,,,,nonrobust,,,,0.0029504186485871,2.5301163555909123,0.0,0.0263794833143758,0.0088727898123129,0.0029504186485871
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",free_water_like__wm__anterior_thalamic_radiation_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,free_water_like,anterior thalamic radiation (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.0029167734919041,0.011810210484895,0.8049325770152257,0.3833083474757149,0.1290433355313611,0.0029763831239554,0.3803915739838107,0.1285018966361526,0.0030765303078265,nonrobust,84.0,144.0,58.0,0.0029763831239554,2.5263111665702453,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__tbss__external_capsule_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,external capsule (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.0048030312185143,0.0124580363848174,0.6998422152204307,0.3988988291255693,0.1361217542501903,0.0033869363889244,0.3940957979070549,0.1355506157878157,0.0036472123611077,nonrobust,84.0,144.0,58.0,0.0033869363889244,2.4701929598946384,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",tract_geometry_like__tbss__superior_fronto_occipital_fasciculus_lef,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,tract_geometry_like,superior fronto-occipital fasciculus (left),composite,stratified_noncase,additive_dosage_within_stratum,ok,33212,,,,,,,,,,,,nonrobust,,,,0.0038902166467447,2.4100262120764007,0.0,0.0256692321969274,0.008890909024854,0.0038902166467447
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",free_water_like__wm__inferior_fronto_occipital_fasciculus_rig,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,free_water_like,inferior fronto-occipital fasciculus (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.0024138406315142,0.0121382764583246,0.8423719882541856,0.3788309993608493,0.1326279225749062,0.0042881430063195,0.376417158729335,0.1320714435008256,0.0043731850533811,nonrobust,84.0,144.0,58.0,0.0042881430063195,2.367730739681926,,,,
