disease_flag,disease_label,phenotype,variant,effect_allele,other_allele,family,analysis_tier,confirmatory_role,panel,metric,region,source,analysis,model,status,n,n_case,n_control,beta_per_A_controls,se_per_A_controls,p_per_A_controls,beta_interaction,se_interaction,p_interaction,beta_per_A_cases_from_interaction,se_per_A_cases_from_interaction,p_per_A_cases_from_interaction,vcov_type,n_case_AA,n_case_AG,n_case_GG,raw_p,minus_log10_raw_p,stratum,beta_per_A,se_per_A,p_per_A
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__wm__anterior_thalamic_radiation_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,anterior thalamic radiation (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.0031554708355220388,0.010990912034341863,0.7740389249802495,0.3640659484795198,0.1200913354810418,0.0024346724319021028,0.36091047764399775,0.1195874573091143,0.0025467183229762875,nonrobust,84.0,144.0,58.0,0.0024346724319021028,2.6135594617951563,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",free_water_like__wm__anterior_thalamic_radiation_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,free_water_like,anterior thalamic radiation (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.0029167734919041937,0.01181021048489508,0.8049325770152257,0.3833083474757149,0.12904333553136116,0.002976383123955455,0.38039157398381074,0.12850189663615266,0.003076530307826506,nonrobust,84.0,144.0,58.0,0.002976383123955455,2.5263111665702453,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__tbss__external_capsule_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,external capsule (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.004803031218514392,0.01245803638481749,0.6998422152204307,0.3988988291255693,0.13612175425019032,0.0033869363889244978,0.3940957979070549,0.13555061578781574,0.003647212361107796,nonrobust,84.0,144.0,58.0,0.0033869363889244978,2.4701929598946384,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",free_water_like__wm__inferior_fronto_occipital_fasciculus_rig,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,free_water_like,inferior fronto-occipital fasciculus (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.0024138406315142805,0.01213827645832465,0.8423719882541856,0.37883099936084935,0.13262792257490622,0.00428814300631958,0.37641715872933507,0.13207144350082564,0.004373185053381184,nonrobust,84.0,144.0,58.0,0.00428814300631958,2.367730739681926,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__wm__inferior_fronto_occipital_fasciculus_rig,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,inferior fronto-occipital fasciculus (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.0023990827019980234,0.011329460467441356,0.8322985861249161,0.35295725645350506,0.1237904582953176,0.004357469303756355,0.35055817375150705,0.12327105937633596,0.004460612728355989,nonrobust,84.0,144.0,58.0,0.004357469303756355,2.3607656635997674,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",free_water_like__tbss__external_capsule_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,free_water_like,external capsule (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,0.0016127058469588835,0.013592535828849017,0.905556192180227,0.40875206302316064,0.1485177731529477,0.005922649106361977,0.4103647688701195,0.1478946235832032,0.005528151883575832,nonrobust,84.0,144.0,58.0,0.005922649106361977,2.227483996834817,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",tract_geometry_like__tbss__uncinate_fasciculus_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,tract_geometry_like,uncinate fasciculus (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,0.027231691574475855,0.011039579521930682,0.013640185922926614,-0.3312278920724679,0.12062309695459256,0.006036378408734505,-0.30399620049799203,0.12011698762253911,0.01138370245820923,nonrobust,84.0,144.0,58.0,0.006036378408734505,2.2192235429729736,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",free_water_like__wm__acoustic_radiation_left,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,free_water_like,acoustic radiation (left),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,0.005951596593147174,0.014115575481849812,0.6732954106305173,0.41560474183914203,0.1542327247640737,0.007049569876897336,0.42155633843228923,0.15358559645049286,0.0060586593460859005,nonrobust,84.0,144.0,58.0,0.007049569876897336,2.151837380283584,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__tbss__external_capsule_left,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,external capsule (left),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.0013877775104253827,0.012520602582167365,0.9117442755975915,0.3654019697887495,0.1368053788822718,0.00756708076649927,0.3640141922783241,0.13623137207366293,0.007543064442622637,nonrobust,84.0,144.0,58.0,0.00756708076649927,2.121071630607857,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",free_water_like__tbss__external_capsule_left,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,free_water_like,external capsule (left),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,0.0051253796842159575,0.013466864288465285,0.7035084981297525,0.3872381701181511,0.14714463295589347,0.008500185294837204,0.39236354980236704,0.1465272447957421,0.00741543796944754,nonrobust,84.0,144.0,58.0,0.008500185294837204,2.070571607032977,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",free_water_like__tbss__anterior_corona_radiata_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,free_water_like,anterior corona radiata (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.008393932516009547,0.011351878640330822,0.45965043204553213,0.3256693593782943,0.12403540869733418,0.008653169285231941,0.3172754268622847,0.12351498201760457,0.010211782484467935,nonrobust,84.0,144.0,58.0,0.008653169285231941,2.0628247999342277,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__tbss__anterior_limb_of_internal_capsule_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,anterior limb of internal capsule (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,0.00392510682588967,0.012606549206774644,0.7555330202350721,0.3616318080306873,0.13774446791300243,0.008659126167975111,0.36555691485657693,0.13716652088287645,0.007701169992753649,nonrobust,84.0,144.0,58.0,0.008659126167975111,2.0625259324138816,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",dMRI_weighted_mean_FA_superior_longitudinal_fasciculus_right,rs2546890,A,G,replication_weighted_tensor,replication_weighted_tensor,replication,primary,FA,superior longitudinal fasciculus (right),basket,interaction,dosage_A_x_disease_flag,ok,33490,285.0,33205.0,0.001122943492565742,0.007174431466422,0.8756239383761812,-0.20513968444544964,0.07871893589945302,0.00916534019563887,-0.20401674095288388,0.07839117265438904,0.00925748570968943,nonrobust,84.0,144.0,57.0,0.00916534019563887,2.03785141042389,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__tbss__anterior_corona_radiata_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,anterior corona radiata (right),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,-0.008320228277676884,0.011153852593950006,0.45570221669978916,0.31552004338671147,0.1218716926839954,0.009631000916465163,0.3071998151090346,0.12136034450493367,0.011368502876307751,nonrobust,84.0,144.0,58.0,0.009631000916465163,2.0163285758132803,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",tract_geometry_like__tbss__uncinate_fasciculus_left,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,tract_geometry_like,uncinate fasciculus (left),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,0.019076385893166205,0.011006435957051417,0.08306884334723345,-0.30944541278877913,0.12026095640096818,0.010083006587400033,-0.29036902689561295,0.11975636653507282,0.015327796684877345,nonrobust,84.0,144.0,58.0,0.010083006587400033,1.9964099490787814,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",free_water_like__tbss__superior_fronto_occipital_fasciculus_lef,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,free_water_like,superior fronto-occipital fasciculus (left),composite,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,0.0019039086228714378,0.011057125287314212,0.8632904654605218,0.3085327106590659,0.12081480937939963,0.01066089041027095,0.31043661928193733,0.12030789566203598,0.009874212266617763,nonrobust,84.0,144.0,58.0,0.01066089041027095,1.97220652100194,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",roi__anterior_limb_of_internal_capsule_right__PC1,rs2546890,A,G,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,PC1,anterior limb of internal capsule (right),roi_pca,interaction,dosage_A_x_disease_flag,ok,33498,286.0,33212.0,0.007199330670491943,0.01607056655244598,0.6541688143948943,0.44562963024155244,0.17559378086094965,0.011158267164245552,0.4528289609120444,0.1748570260155843,0.009609849315915296,nonrobust,84.0,144.0,58.0,0.011158267164245552,1.9524032444161896,,,,
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",dMRI_weighted_mean_RD_superior_longitudinal_fasciculus_right,rs2546890,A,G,replication_weighted_tensor,replication_weighted_tensor,replication,primary,RD,superior longitudinal fasciculus (right),derived,interaction,dosage_A_x_disease_flag,ok,33475,284.0,33191.0,0.0040321346844239,0.006781570335684462,0.5521333458656217,0.18687785391008402,0.07461049161175963,0.012259808081401416,0.19090998859450792,0.07430131868552158,0.010191704272616123,nonrobust,83.0,144.0,57.0,0.012259808081401416,1.911516328336423,,,,
