field_id,instance,array,basket_col,column_name,description,modality_guess,metric_guess,tract_or_region_guess,panel,transform,include,notes,source,region_priority
25000.0,2,0,f.25000.2.0,head_size_scaling,Volumetric scaling from T1 head image to standard space,T1,head_size_scaling,,exploratory,rank_inverse_normal,False,classified_by=range,basket,0
25056.0,2,0,f.25056.2.0,dMRI_TBSS_FA_middle_cerebellar_peduncle,Mean FA in middle cerebellar peduncle on FA skeleton,dMRI_TBSS,FA,middle cerebellar peduncle,primary,rank_inverse_normal,True,classified_by=dict,basket,0
25057.0,2,0,f.25057.2.0,dMRI_TBSS_FA_pontine_crossing_tract,Mean FA in pontine crossing tract on FA skeleton,dMRI_TBSS,FA,pontine crossing tract,primary,rank_inverse_normal,True,classified_by=dict,basket,0
25058.0,2,0,f.25058.2.0,dMRI_TBSS_FA_genu_of_corpus_callosum,Mean FA in genu of corpus callosum on FA skeleton,dMRI_TBSS,FA,genu of corpus callosum,primary,rank_inverse_normal,True,classified_by=dict,basket,1
25059.0,2,0,f.25059.2.0,dMRI_TBSS_FA_body_of_corpus_callosum,Mean FA in body of corpus callosum on FA skeleton,dMRI_TBSS,FA,body of corpus callosum,primary,rank_inverse_normal,True,classified_by=dict,basket,1
25060.0,2,0,f.25060.2.0,dMRI_TBSS_FA_splenium_of_corpus_callosum,Mean FA in splenium of corpus callosum on FA skeleton,dMRI_TBSS,FA,splenium of corpus callosum,primary,rank_inverse_normal,True,classified_by=dict,basket,1
25061.0,2,0,f.25061.2.0,dMRI_TBSS_FA_fornix,Mean FA in fornix on FA skeleton,dMRI_TBSS,FA,fornix,primary,rank_inverse_normal,True,classified_by=dict,basket,0
25062.0,2,0,f.25062.2.0,dMRI_TBSS_FA_corticospinal_tract_right,Mean FA in corticospinal tract on FA skeleton (right),dMRI_TBSS,FA,corticospinal tract (right),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25063.0,2,0,f.25063.2.0,dMRI_TBSS_FA_corticospinal_tract_left,Mean FA in corticospinal tract on FA skeleton (left),dMRI_TBSS,FA,corticospinal tract (left),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25064.0,2,0,f.25064.2.0,dMRI_TBSS_FA_medial_lemniscus_right,Mean FA in medial lemniscus on FA skeleton (right),dMRI_TBSS,FA,medial lemniscus (right),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25065.0,2,0,f.25065.2.0,dMRI_TBSS_FA_medial_lemniscus_left,Mean FA in medial lemniscus on FA skeleton (left),dMRI_TBSS,FA,medial lemniscus (left),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25066.0,2,0,f.25066.2.0,dMRI_TBSS_FA_inferior_cerebellar_peduncle_right,Mean FA in inferior cerebellar peduncle on FA skeleton (right),dMRI_TBSS,FA,inferior cerebellar peduncle (right),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25067.0,2,0,f.25067.2.0,dMRI_TBSS_FA_inferior_cerebellar_peduncle_left,Mean FA in inferior cerebellar peduncle on FA skeleton (left),dMRI_TBSS,FA,inferior cerebellar peduncle (left),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25068.0,2,0,f.25068.2.0,dMRI_TBSS_FA_superior_cerebellar_peduncle_right,Mean FA in superior cerebellar peduncle on FA skeleton (right),dMRI_TBSS,FA,superior cerebellar peduncle (right),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25069.0,2,0,f.25069.2.0,dMRI_TBSS_FA_superior_cerebellar_peduncle_left,Mean FA in superior cerebellar peduncle on FA skeleton (left),dMRI_TBSS,FA,superior cerebellar peduncle (left),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25070.0,2,0,f.25070.2.0,dMRI_TBSS_FA_cerebral_peduncle_right,Mean FA in cerebral peduncle on FA skeleton (right),dMRI_TBSS,FA,cerebral peduncle (right),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25071.0,2,0,f.25071.2.0,dMRI_TBSS_FA_cerebral_peduncle_left,Mean FA in cerebral peduncle on FA skeleton (left),dMRI_TBSS,FA,cerebral peduncle (left),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25072.0,2,0,f.25072.2.0,dMRI_TBSS_FA_anterior_limb_of_internal_capsule_right,Mean FA in anterior limb of internal capsule on FA skeleton (right),dMRI_TBSS,FA,anterior limb of internal capsule (right),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25073.0,2,0,f.25073.2.0,dMRI_TBSS_FA_anterior_limb_of_internal_capsule_left,Mean FA in anterior limb of internal capsule on FA skeleton (left),dMRI_TBSS,FA,anterior limb of internal capsule (left),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25074.0,2,0,f.25074.2.0,dMRI_TBSS_FA_posterior_limb_of_internal_capsule_right,Mean FA in posterior limb of internal capsule on FA skeleton (right),dMRI_TBSS,FA,posterior limb of internal capsule (right),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25075.0,2,0,f.25075.2.0,dMRI_TBSS_FA_posterior_limb_of_internal_capsule_left,Mean FA in posterior limb of internal capsule on FA skeleton (left),dMRI_TBSS,FA,posterior limb of internal capsule (left),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25076.0,2,0,f.25076.2.0,dMRI_TBSS_FA_retrolenticular_part_of_internal_capsule_f25076,Mean FA in retrolenticular part of internal capsule on FA skeleton (right),dMRI_TBSS,FA,retrolenticular part of internal capsule (right),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25077.0,2,0,f.25077.2.0,dMRI_TBSS_FA_retrolenticular_part_of_internal_capsule_f25077,Mean FA in retrolenticular part of internal capsule on FA skeleton (left),dMRI_TBSS,FA,retrolenticular part of internal capsule (left),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25078.0,2,0,f.25078.2.0,dMRI_TBSS_FA_anterior_corona_radiata_right,Mean FA in anterior corona radiata on FA skeleton (right),dMRI_TBSS,FA,anterior corona radiata (right),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25079.0,2,0,f.25079.2.0,dMRI_TBSS_FA_anterior_corona_radiata_left,Mean FA in anterior corona radiata on FA skeleton (left),dMRI_TBSS,FA,anterior corona radiata (left),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25080.0,2,0,f.25080.2.0,dMRI_TBSS_FA_superior_corona_radiata_right,Mean FA in superior corona radiata on FA skeleton (right),dMRI_TBSS,FA,superior corona radiata (right),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25081.0,2,0,f.25081.2.0,dMRI_TBSS_FA_superior_corona_radiata_left,Mean FA in superior corona radiata on FA skeleton (left),dMRI_TBSS,FA,superior corona radiata (left),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25082.0,2,0,f.25082.2.0,dMRI_TBSS_FA_posterior_corona_radiata_right,Mean FA in posterior corona radiata on FA skeleton (right),dMRI_TBSS,FA,posterior corona radiata (right),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25083.0,2,0,f.25083.2.0,dMRI_TBSS_FA_posterior_corona_radiata_left,Mean FA in posterior corona radiata on FA skeleton (left),dMRI_TBSS,FA,posterior corona radiata (left),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25084.0,2,0,f.25084.2.0,dMRI_TBSS_FA_posterior_thalamic_radiation_right,Mean FA in posterior thalamic radiation on FA skeleton (right),dMRI_TBSS,FA,posterior thalamic radiation (right),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25085.0,2,0,f.25085.2.0,dMRI_TBSS_FA_posterior_thalamic_radiation_left,Mean FA in posterior thalamic radiation on FA skeleton (left),dMRI_TBSS,FA,posterior thalamic radiation (left),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25086.0,2,0,f.25086.2.0,dMRI_TBSS_FA_sagittal_stratum_right,Mean FA in sagittal stratum on FA skeleton (right),dMRI_TBSS,FA,sagittal stratum (right),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25087.0,2,0,f.25087.2.0,dMRI_TBSS_FA_sagittal_stratum_left,Mean FA in sagittal stratum on FA skeleton (left),dMRI_TBSS,FA,sagittal stratum (left),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25088.0,2,0,f.25088.2.0,dMRI_TBSS_FA_external_capsule_right,Mean FA in external capsule on FA skeleton (right),dMRI_TBSS,FA,external capsule (right),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25089.0,2,0,f.25089.2.0,dMRI_TBSS_FA_external_capsule_left,Mean FA in external capsule on FA skeleton (left),dMRI_TBSS,FA,external capsule (left),primary,rank_inverse_normal,True,classified_by=dict,basket,0
25090.0,2,0,f.25090.2.0,dMRI_TBSS_FA_cingulum_cingulate_gyrus_right,Mean FA in cingulum cingulate gyrus on FA skeleton (right),dMRI_TBSS,FA,cingulum cingulate gyrus (right),primary,rank_inverse_normal,True,classified_by=dict,basket,1
25091.0,2,0,f.25091.2.0,dMRI_TBSS_FA_cingulum_cingulate_gyrus_left,Mean FA in cingulum cingulate gyrus on FA skeleton (left),dMRI_TBSS,FA,cingulum cingulate gyrus (left),primary,rank_inverse_normal,True,classified_by=dict,basket,1
